Species,conservative,liberal,PCO1,PCO2,PCO3,PCO4,DietBreadth,AdultBodyMass_g,AdultForearmLen_mm,HabitatBreadth,LitterSize,GR_Area_km2,GR_MidRangeLat_dd,HuPopDen_Mean_n/km2,Precip_Mean_mm,Temp_Mean_01degC
Macrotus waterhousii,Negative,Negative,-0.615200463,-0.281557979,-0.011651967,-0.113547113,NA,16.27,51.64,1,0.98,1814916.35,25.86,74.5,64.49,193.75
Mesophylla macconnelli,Negative,Negative,-0.90566398,-0.574033051,-0.044802713,-0.203653115,1,6.86,31.62,1,0.99,8790472.74,-3.31,14.9,169.03,243.05
Micronycteris brosseti,Negative,Negative,-0.653393219,-0.321024295,-0.019884646,-0.202569525,NA,NA,NA,NA,NA,474381.36,-10.7,19.72,157.23,232.23
Micronycteris hirsuta,Negative,Negative,-0.631710633,-0.30263306,-0.02247396,0.017626228,2,12.89,43.3,1,0.99,4915005.84,0.63,17.16,173.72,251.33
Micronycteris homezi,Negative,Negative,-0.657600062,-0.324595786,-0.019138412,0.01771638,NA,NA,NA,NA,NA,881659.34,4.01,3.15,133.95,254.08
Micronycteris matses,Negative,Negative,-0.662888371,-0.329077753,-0.018798595,0.017695846,NA,NA,NA,NA,NA,972.5,-5.29,0.5,215.5,258
Micronycteris megalotis,Negative,Negative,-0.660581438,-0.327121001,-0.019079974,0.017511365,2,6.4,33.95,1,0.98,11229124.06,-5.56,25.86,155.74,240.54
Micronycteris microtis,Negative,Negative,-0.663039731,-0.329206138,-0.018780051,0.017487867,NA,NA,NA,NA,NA,2664514.34,11.59,34.08,147.21,238.11
Micronycteris minuta,Negative,Negative,-0.651741881,-0.319626717,-0.019870394,0.017708098,2,6.9,34,1,0.99,12260456.67,-7.5,24.91,154.41,237.7
Micronycteris sanborni,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,621701.27,-12.46,3.78,136.69,238.71
Micronycteris schmidtorum,Negative,Negative,-0.65859471,-0.325439447,-0.019014773,0.01770859,2,7.73,35.49,1,NA,6440621.09,-4.76,33.65,161.29,245.72
Mimon bennettii,Negative,Negative,-0.88842512,-0.521319099,0.011325475,0.017489908,2,12.9,56,2,NA,2103098.89,-10.92,68.9,139.13,232.3
Mimon cozumelae,Negative,Negative,NA,NA,NA,NA,NA,NA,65.2,NA,0.98,812740.52,12.47,57.85,170.19,235.51
Mimon crenulatum,Negative,Negative,-0.849341065,-0.504044635,-0.019952018,0.017718086,2,13.91,48.84,1,0.99,10073417.99,2.36,19.59,163.06,244.41
Mimon koepckeae,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,113389.51,-10.99,17.57,115.61,171.04
Molossops aequatorianus,Negative,Negative,NA,NA,NA,NA,1,NA,36.5,1,NA,130439.11,-1.05,72.68,148.35,199.96
Molossops mattogrossensis,Negative,Negative,NA,NA,NA,NA,1,7.48,28.49,1,NA,5565787.46,-3.12,12.28,149.77,247.97
Molossops neglectus,Negative,Negative,NA,NA,NA,NA,1,NA,35.49,1,NA,8086531.07,-10.23,5.68,160.35,241.08
Molossops temminckii,Negative,Negative,NA,NA,NA,NA,1,5.86,28.49,1,0.98,7264791.36,-15.27,25.92,120.67,219.38
Molossus aztecus,Negative,Negative,NA,NA,NA,NA,NA,14.86,NA,NA,NA,382245.88,16.04,101,110.37,208.13
Molossus barnesi,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,3843.41,4.99,9,303.4,246.59
Molossus coibensis,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,4795656.58,-0.47,15.83,181.94,245.07
Molossus currentium,Negative,Negative,NA,NA,NA,NA,NA,17.79,41,1,0.99,1346846.01,3.75,61.82,140.76,238.26
Molossus molossus,Positive,Positive,0.015433293,0.171729258,0.072971115,0.603296995,1,13.7,38.22,1,0.99,16538107.62,-5.16,32.82,137.03,226.13
Molossus pretiosus,Negative,Negative,NA,NA,NA,NA,NA,98,45.5,1,0.98,2510175.15,8.35,45.5,162.95,237.33
Molossus rufus,Negative,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,15178757.42,-1.59,28.52,143.15,234.08
