Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Pteronura brasiliensis,Negative,Negative,monogamous,yes,-56.4,-20.87,-0.31,3,26.00,1,2,365,2.12,12.83,NA,120.48,8075624.21,-8.52,-57.02,6.27,16.27,24.54
Enhydra lutris,Negative,Negative,polygamous,yes,-56.41,-20.88,-0.31,3,27.41,6,1,365,0.96,30.00,1022.33,178.98,NA,NA,NA,NA,NA,NA
Uncia uncia,Negative,Negative,polygamous,no,44.74,5,65.89,2,32.50,1,1,365,2.12,18.00,841.82,101.42,2744453.48,40.19,86.14,12.36,4.39,-4.68
Hyaena hyaena,Negative,Negative,NA,yes,58.63,-16.33,-24.16,2,35.07,6,1,237.25,2.44,24.00,928.08,118.93,24254343.2,16.93,34.64,56.87,2.95,22.90
Arctocephalus galapagoensis,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,1,39.45,6,2,730,1,22.00,1683.65,821.25,NA,NA,NA,NA,NA,NA
Hyaena brunnea,Negative,Negative,polygamous,yes,58.63,-16.33,-24.16,1,42.98,6,2,532.29,2.3,17.00,807.23,302.44,1981470.71,-24.3,22.39,12.77,3.44,18.66
Acinonyx jubatus,Negative,Negative,polygamous,no,45.04,5.07,67.16,3,50.58,1,1,547.5,3.28,19.00,741.97,91.42,10586306.53,4.24,22.95,19.88,5.13,23.08
Panthera pardus,Negative,Negative,polygamous,no,44.74,5,65.91,2,52.40,1,1,476.37,2.14,23.00,810.68,123.54,29348601.36,6.76,58.94,101.11,8.80,20.76
Puma concolor,Negative,Negative,polygamous,no,45.04,5.07,67.17,2,53.95,1,1,577.91,2.76,20.00,1034.61,48.46,22350859.07,3.28,-85.07,23.42,10.92,18.19
Callorhinus ursinus,Negative,Negative,polygamous,yes,-42.02,-5.25,0.03,2,55.46,6,2,365,1.04,35.00,1683.65,108.69,NA,NA,NA,NA,NA,NA
Helarctos malayanus,Negative,Negative,NA,no,-32.93,-1.32,0.05,1,57.08,3,1,NA,1.1,24.80,NA,90.36,2525372.13,9.67,108.18,97.72,20.02,24.39
