Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.g,DietBreadth,HabitatBreadth,HomeRange.Indiv.km2,InterbirthInterval.d,LitterSize,MaxLongevity.m,PopulationDensity.n.km2,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.mm,Temp.Mean.01degC
Salanoia concolor,Negative,Negative,NA,NA,60.63,-17.69,-26.79,3,711.49,3,1,NA,NA,NA,57.6,NA,NA,NA,41471.69,-17.01,49.28,31.35,197.43,205.2
Speothos venaticus,Negative,Negative,0,1,-6.82,84.96,-17.30,3,6324.54,1,1,NA,247.94,3.8,124,NA,344.87,127.3,9703966.13,-7.32,-58.42,20.52,151.5,240.47
Spilogale gracilis,Negative,Negative,1,1,-47.17,-12.92,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3831634.7,36.59,-112.01,22.96,34.13,117.65
Spilogale putorius,Positive,Positive,NA,NA,-47.17,-12.92,-0.16,1,566.49,6,1,0.31,243.33,5.07,120,4.7,196.96,55.68,2957350.08,37.14,-92.13,32.08,72.47,134.16
Spilogale pygmaea,Negative,Negative,NA,NA,-47.17,-12.92,-0.16,2,365,6,1,NA,NA,4,NA,NA,NA,NA,95598.41,19.49,-100.42,36.44,97.2,217.13
Suricata suricatta,Negative,Positive,0,1,62.23,-18.79,-28.92,3,729.99,1,1,14.06,365,3.86,150,NA,377.37,55.68,1720747.74,-24.77,21.29,10.05,26.55,175.81
Taxidea taxus,Negative,Negative,1,0,-53.97,-18.85,-0.27,1,7842.15,1,1,3.45,365,2.76,312,1.94,365,41.99,8860573.16,38.45,-101.73,26.45,41.62,91.54
Tremarctos ornatus,Negative,Negative,1,0,-32.83,-1.31,0.05,2,123176.97,5,1,NA,NA,1.44,437,NA,NA,173.44,409517.73,-5.52,-71.63,35.22,125.36,179.82
Uncia uncia,Negative,Negative,1,0,44.74,5.00,65.89,2,32500,1,1,24.07,365,2.12,216,0.07,841.82,101.42,2744453.48,40.19,86.14,12.36,43.86,-46.81
Urocyon cinereoargenteus,Positive,Positive,0,1,-6.75,83.15,-16.84,2,3833.71,6,1,1.94,365,3.71,180,2.41,350.76,63.79,9010481.09,26.13,-94.96,52.72,69.98,148.41
Urocyon littoralis,Negative,Negative,0,0,-6.75,83.15,-16.84,2,1923,6,1,0.45,365,2.17,96,7,361.52,NA,511.92,33.98,-119.98,82.01,NA,NA
Ursus americanus,Negative,Negative,1,0,-32.93,-1.32,0.05,3,110500,1,1,34.07,821.25,2.39,384,0.72,1448.45,167.99,9650153.48,47.57,0,11.45,51.94,3.89
Ursus arctos,Negative,Negative,1,1,-32.93,-1.32,0.05,2,196287.5,6,1,333.82,912.5,2.24,600,0.02,1327.95,182.5,23972321.42,50.76,5.93,14.85,35.01,-46.56
Ursus maritimus,Negative,Negative,1,0,-32.93,-1.32,0.05,3,371703.81,3,1,82990.48,831.67,1.66,458.4,7.05E-03,1850.26,205.17,NA,NA,NA,NA,NA,NA
Ursus thibetanus,Negative,Negative,1,0,-32.93,-1.32,0.05,2,99714.19,3,1,0.83,365,1.5,422,NA,1015,82.01,5348705.49,28.27,102.35,156.32,111.63,126.64
Viverra civettina,Negative,Negative,NA,NA,59.01,-16.49,-24.37,1,12061.27,6,1,NA,NA,NA,NA,NA,NA,NA,14075.26,10.87,76.27,521.43,192.47,257.89
Viverra megaspila,Negative,Negative,NA,NA,59.01,-16.49,-24.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595937.43,12.1,101.83,136.81,162.59,242.1
Viverra tangalunga,Negative,Negative,NA,0,59.01,-16.49,-24.37,1,7349.99,6,1,NA,NA,1.92,144,NA,NA,NA,1304276.8,0.54,107.22,67.69,244.56,248.46
Viverra zibetha,Negative,Negative,NA,0,59.01,-16.49,-24.37,1,9148.77,6,1,8.78,182.5,2.89,240,NA,NA,NA,4064204.47,16.64,103.93,189.5,149.37,187.9
Viverricula indica,Negative,Negative,1,0,58.93,-16.44,-24.28,2,2918.88,6,3,NA,NA,3.74,126,NA,NA,NA,8147745.62,11.89,94.37,262.87,126.95,216.69
Vormela peregusna,Negative,Negative,NA,0,-56.19,-20.70,-0.30,2,594.13,1,1,NA,365,5.07,107,NA,NA,NA,8883616.47,40.59,68.25,37.77,25.66,70.33
Vulpes bengalensis,Negative,Negative,0,0,-6.80,84.34,-17.14,2,2514.4,6,1,NA,365,3.49,120,NA,NA,NA,3182952.32,21.27,78.36,323.93,84.38,244.33
Vulpes cana,Negative,Negative,0,0,-6.79,84.29,-17.13,1,988.5,6,1,1.52,NA,2,120,1.25,380.55,44.74,2162391.85,27.06,49.02,33.51,19.76,165.74
Vulpes chama,Negative,Negative,0,1,-6.79,84.22,-17.11,1,2919.8,6,1,NA,NA,2.5,120,NA,311.36,NA,2079866.13,-25.18,21.48,15.78,30.71,179.11
Vulpes corsac,Positive,Positive,0,1,-6.80,84.34,-17.14,1,2615.33,6,1,NA,365,5.62,NA,NA,1024.89,54.56,6378396.4,41.96,92.4,22.43,19.36,37.75
Vulpes ferrilata,Negative,Negative,0,1,-6.83,85.24,-17.37,NA,5543.74,1,1,NA,NA,3.49,NA,NA,420.91,55.68,2339623.06,32.4,91.71,29.53,60.84,-34.54
Vulpes lagopus,Positive,Positive,0,1,-6.80,84.34,-17.14,2,3584.37,1,1,15.08,365,7.65,180,0.1,293.89,49.5,16988732.37,65.45,0,2.84,29.99,-90.38
Vulpes macrotis,Negative,Negative,1,1,-6.80,84.34,-17.14,NA,4499.97,NA,NA,8.41,NA,4.5,240,0.19,NA,NA,1790499.14,32.77,-111.19,13.4,24.17,135.39
Vulpes pallida,Negative,Negative,NA,1,-6.79,84.22,-17.11,1,2800.01,6,1,NA,NA,4,120,6.11,NA,NA,4166246.1,15,11.84,28.92,38.33,270.96
Vulpes rueppellii,Negative,Negative,0,1,-6.80,84.34,-17.14,1,3249.97,1,1,31.7,NA,2.12,NA,NA,NA,NA,11669070.9,24.61,27.22,23.42,8.65,221.83
Vulpes velox,Negative,Negative,0,1,-6.80,84.34,-17.14,1,2088,1,1,5.48,365,4.25,240,0.41,470.29,47.08,671658.66,38.43,-102.84,7.54,35.38,105.62
Vulpes vulpes,Positive,Positive,1,0,-6.80,84.34,-17.14,1,4820.36,1,1,3.51,365,4.59,180,1.1,321.07,50.71,63034304.34,43.1,0,66.44,46.58,34.32
Vulpes zerda,Negative,Negative,0,1,-6.79,84.29,-17.13,1,1317.13,6,1,NA,365,2.36,175,NA,294.06,65.56,6960271.02,25.73,15.99,3.93,3.55,245.56
Zalophus californianus,Negative,Negative,1,1,-42.09,-5.27,0.03,2,137194.86,6,2,NA,547.5,1.41,360,0.5,2023.55,319.01,NA,NA,NA,NA,NA,NA
